row_number,title,loren_severity,loren_status,spec_status,audit_verdict,evidence_summary,root_cause,fix_size,recommended_response,dayo_decision,fix_status
1,WCAG 2.2 Compliance,Must Fix,Fail,"In scope per WP1 deliverable 1 (""WCAG 2.2 aligned"") + completed implementation record (23 Mar 2026)",Already addressed — spec records full WCAG 2.2 AA pass,"Spec contains a complete WCAG 2.2 AA implementation record dated 23 Mar 2026 listing Groups A/B/C of fixes across 10 files. All contractual obligations stated as met. Automated re-scan recommended to confirm.",Implementation pass completed 23 Mar 2026; Loren may have tested before deployment or found residual issues,Small (verify + fix any residual gaps),"WCAG 2.2 AA implementation was completed 23 March 2026 and documented in the spec (see 'WCAG 2.2 AA Accessibility — Implementation Record'). We will run an axe-core re-scan to confirm no regressions.",,
2,GOV.UK Design System,Must Fix,Fail,"Open question per spec — raised with DfT at kickoff 5 Mar 2026 (""confirm their preference before finalising visual design direction in W2"")",Scope dispute — spec explicitly flags this as unresolved,"Spec states: 'The proposal cites WCAG 2.2 and GOV.UK Design System alignment. The prototype uses an enhanced design language (DM Serif + DM Sans) that departs from GDS. This was raised with DfT at kickoff on 5 March 2026 — confirm their preference.' No resolution recorded.",DfT preference not recorded as confirmed in spec,N/A (pending DfT decision),"GOV.UK Design System alignment was explicitly flagged as an open question in the spec and raised with DfT at kickoff on 5 March 2026. The spec records no resolution. This is a scope dispute requiring DfT written confirmation of their preferred design direction.",,
3,Improved UI/UX,N/A,N/A,"In scope per WP1 deliverable 1 (""improved UI/UX, intuitive navigation"") — iterated via W1-W3 review calls per agile model",Cannot determine without DfT written confirmation,"Spec states 'Client feedback from each review call is incorporated into the following week's build' and documents W3 feedback items. UI was iterated with DfT through weekly calls.",N/A — subjective claim governed by agile review model,N/A,"UI/UX improvements were iterated through weekly DfT review calls (W1-W3) per the agreed agile delivery model. The W3 review log documents specific feedback items and resolutions. DfT written confirmation of acceptance is the required artefact.",,
4,Hazard-specific dynamic filtering,Must Fix,Fail,"In scope per WP1 deliverable 1 (""hazard-specific dynamic filtering"")",Confirmed,"ID_41 not in case-studies.json. 'Extreme Heat' not canonical — 'High temperatures' is.",ID_41 missing from frontend; no synonym layer for hazard terms,Small,"ID_41 fix in progress. Adding synonym mapping for Extreme Heat → High temperatures.",,
5,AI-enabled navigation/filter logic,N/A,Pass,"In scope per WP1 deliverable 1 (""AI-enabled search"")",Confirmed (pass),Hybrid search + query expansion works. Synonym gap for Frost noted.,N/A,N/A,"Synonym coverage will be extended.",,
6,AI search limited to verified sources,N/A,Pass,"In scope per WP1 deliverable 1 (""source-linked outputs"")",Confirmed (pass),"System prompt + RAG pipeline restrict to curated knowledge base.",N/A,N/A,"Confirmed by design.",,
7,AI source-linked citations,Backlog,Pass,"In scope per WP1 deliverable 1 (""source-linked outputs""); volume optimisation not specified",Confirmed (pass with backlog),Citation rules enforced via system prompt. Volume optimisation is backlog.,N/A,N/A,"Citation behaviour enforced. Volume optimisation is backlog.",,
8,Database updatable,N/A,N/A,"In scope per WP1 deliverable 1 (""scalable database""); user-facing editing explicitly out of scope — spec states ""resourcing of ongoing curation is out of scope but the workflow doc is in scope""",Confirmed (close with evidence),"PostgreSQL (Supabase) with admin API endpoints and ingestion scripts. Spec confirms user-facing editing is out of scope.",N/A,N/A,"Architecture supports full CRUD. Admin APIs exist. User-facing editing is explicitly out of scope per spec (WP1 content curation pathway: 'resourcing of ongoing curation is out of scope').",,
9,Database scalable,N/A,N/A,"In scope per WP1 deliverable 1 (""scalable database"")",Confirmed (close with evidence),"Supabase is PostgreSQL with native scaling, connection pooling, read replicas.",N/A,N/A,"PostgreSQL natively scales. No architectural ceiling.",,
10,Light-touch onboarding,Must Fix,Fail,"In scope per WP1 deliverable 3 (""in-platform tooltip walkthrough preferred over static manual; brief explainer sufficient; primary goal is intuitive design so users don't need documentation"")",Partially confirmed,"7-step walkthrough exists as specified. Formatting issues may be present. Spec explicitly states 'tooltip walkthrough preferred over static manual' and 'brief explainer sufficient'.",z-index layering conflicts with sticky nav,Small,"Walkthrough implemented per spec (WP1 deliverable 3: 'in-platform tooltip walkthrough'). Formatting issues to be verified and fixed. Spec explicitly states a recorded walkthrough is not required — 'short overview and/or brief recorded walkthrough' with tooltip walkthrough as the agreed approach.",,
