"ID","Location_Page","Title","What_I_Checked","Sub_Category","Loren_Status","Loren_Severity","Loren_Issue_Short","How_To_Reproduce_Short","Our_Response_Status","Our_Position_And_What_Is_Built","Changes_Since_Lorens_Review","Evidence_How_To_Verify","Spec_Or_Scope_Note","Open_Actions_Or_Reviewer_Check"
"Q1","Contract Requirement","WCAG 2.2 Compliance","WCAG 2.2-aligned accessibility across navigation filtering search outputs","Accessibility and design standards","Fail","Must Fix","Multiple non-compliances reported","General use of handbook routes","Addressed with evidence","WCAG 2.1 AA is the legal baseline for UK public sector sites; we targeted WCAG 2.2 AA per WP1. A full implementation pass was recorded in the spec (23 Mar 2026). Automated pa11y runs showed zero critical issues; serious-level findings were overwhelmingly contrast-related and traced to six root colour tokens.","Contrast tokens darkened across themes and key pages; scope on th elements; post-fix pa11y showed large reduction in violations (see accessibility audit doc).","docs/qa/accessibility-audit-2026-05-02.md; lib/hive/themes.ts; pa11y re-run noted in loren-qa-response-2026-05-02.md","In scope per WP1. Reviewer may re-run pa11y or axe on current staging build and compare counts to 2 May baseline.","Reviewer: run automated scan on https://hive-staging-hsbceeffcrabdfbc.uksouth-01.azurewebsites.net and attach export if anything structural appears beyond contrast."
"Q2","Contract Requirement","GOV.UK Design System alignment","UI patterns vs GOV.UK Design System conventions","Accessibility and design standards","Fail","Must Fix","No evidence of GDS alignment; conflated with legal accessibility","N/A","Scope clarification","GDS is a design system and component library; it is not the same as the Public Sector Bodies Accessibility Regulations. Legal requirement is WCAG 2.1 AA (we aligned to 2.2 AA). Spec records an open question with DfT (5 Mar 2026) on whether HIVE must adopt GDS visuals versus the agreed TRIB design language.","No change pending DfT decision on visual direction.","Notion spec GOV.UK open question; package.json has no govuk-frontend dependency by design until agreed","Explicitly flagged unresolved in spec; needs written DfT preference.","DfT to confirm whether GDS visual compliance is required or WCAG-aligned TRIB branding stands."
"Q3","Contract Requirement","Improved UI and UX","Improved intuitive navigation vs MVP","Accessibility and design standards","N/A","N/A","Subjective; Build Brief entry points confusing","N/A","Process and evidence","Iterated with DfT via weekly reviews per agile model; several concrete UX items from Loren were fixed (brief nav timeout walkthrough chat link). Remaining subjective fit is best closed with sponsor sign-off.","Brief link carries selected IDs; AI timeout 30s; walkthrough stacking fixes; View N cases z-index.","Notion W3 client feedback log; HandbookNav.tsx; ai-availability.ts; brief page tour","In scope as design goal; not a single pass-fail without user testing.","Optional short usability retest with DfT; consider consolidating Ask Hive entry points in phase 2."
"Q4","Contract Requirement","Hazard-specific dynamic filtering","Hazard filters and AI surfacing hazard-relevant content","Filtering and discovery","Fail","Must Fix","ID_41 404; typo heat query wrong negatives","Extreme frost then ID_41; Etrem Heet in chat","Fixed and hardened","ID_41 is not in ingested dataset (content gap not routing bug). Synonym and retrieval fixes: query expansion citation guards guidance chunk labelling Supabase updates. Frost and cold queries now use hybrid retrieval keyword fusion optional editorial seed IDs and richer metadata chunks.","Hybrid chat retrieval now uses same hybridSearchChunks path as unified search; frost or cold seed floor; ID_06 cold tags; hazard line in keyword-only chunks; cache version bump for unified search.","Staging handbook; scripts/run-retrieval-battery.ts; lib/handbook/chat-api.ts","In scope. ID_41 remains a content or marquee decision if referenced anywhere.","Decide ingest or remove ID_41 from any marketing surfaces; keep battery in regression."
"Q5","Contract Requirement","AI-enabled navigation and filter logic","Representative questions return hazard-relevant results","Filtering and discovery","Pass","N/A","Could better link frost to freeze-thaw","Visit handbook","Pass maintained","Hybrid semantic plus keyword RRF dynamic thresholds query expansion; chat and main search now share the same retrieval brain when chat runs fresh retrieval reducing panel mismatch.","Chat fallback path switched from vector-only to hybridSearchChunks.","lib/handbook/chat-api.ts hybridSearchChunks and stream path","In scope.","Continue tuning redirect language for taxonomy mismatches."
"Q6","Contract Requirement","AI outputs limited to qualified sources","Responses stay in curated knowledge base","AI search outputs","Pass","N/A","None","N/A","Pass","System prompt plus RAG over hive document chunks; refusal for out-of-corpus requests.","No functional change required.","chat-api.ts HIVE rules","In scope.","None."
"Q7","Contract Requirement","AI source-linked citations and artefacts","Citations traceable to content","AI search outputs","Pass","Backlog","Volume of what to show needs optimisation","N/A","Pass with backlog","Citation format enforced; chip links to cases. Enumeration of entire catalogue is a different surface (Options Table).","Citation integrity fixes under sparse retrieval.","ChatPanel chips; chat-api citation rules","In scope; optimisation backlog acknowledged.","Prompt tuning for list-all intent to steer to Options Table."
"Q8","Contract Requirement","Database updatable","Backend supports updates","Content store","N/A","N/A","No in-app CMS","N/A","Close with statement","Supabase Postgres with ingestion and admin patterns; spec places ongoing curation resourcing out of scope while workflow is in scope.","No change.","Architecture and spec WP1.4 wording","User editing UI is backlog unless contractually added.","Short written confirmation from Dayo if needed for audit trail."
"Q9","Contract Requirement","Database scalable","Structure supports growth","Content store","N/A","N/A","Cannot test from UI","N/A","Close with statement","Postgres pgvector standard scaling patterns; no hard ceiling in schema for more cases.","No change.","Supabase stack","In scope.","None."
"Q10","Contract Requirement","Light-touch onboarding","Short overview or walkthrough","Onboarding","Fail","Must Fix","Walkthrough formatting animation; no recorded video","Open handbook brief tour","Fixed","Seven-step in-page tour per spec preference for tooltip walkthrough. Fixed stacking context tour card z-index and scroll-on-dismiss.","Transform end state set to none; card z-index; closeTour scroll behaviour.","app/handbook/brief/page.tsx","Spec allows overview or brief recorded walkthrough; text tour satisfies if agreed with DfT.","DfT confirm text tour satisfies deliverable 3 wording."
